Employee_ID,Department,Job_Level,Work_Hours_Per_Week,Meetings_Per_Week,WFH_Days_Per_Week,Productivity_Score,Stress_Level,Work_Life_Balance
EMP001,Product,Junior,44.7,6,2,80,3,8
EMP002,DevOps,Senior,43.4,9,3,60,7,3
EMP003,QA,Mid,39.1,6,1,79,3,7
EMP004,IT Support,Junior,46.1,11,4,72,1,10
EMP005,Product,Senior,41.9,6,3,72,5,6
EMP006,Engineering,Senior,31.9,11,5,55,7,3
EMP007,Product,Senior,46.7,9,3,53,8,2
EMP008,Product,Mid,35.7,7,2,61,7,3
EMP009,QA,Mid,45.5,9,4,72,4,5
EMP010,IT Support,Junior,45.9,11,1,72,3,6
EMP011,IT Support,Senior,32.6,9,3,71,2,9
EMP012,DevOps,Senior,37.8,8,1,67,4,6
EMP013,IT Support,Senior,34.1,4,1,73,6,5
EMP014,DevOps,Junior,37.3,8,3,70,6,3
EMP015,QA,Junior,42.8,2,4,82,4,5
EMP016,IT Support,Senior,46.4,5,5,60,9,2
EMP017,Product,Mid,34.7,6,4,74,6,4
EMP018,Product,Junior,38.5,10,3,71,4,6
EMP019,Product,Junior,28.7,6,1,77,5,6
EMP020,Product,Senior,39.6,9,1,68,3,6
EMP021,QA,Mid,47.4,6,1,62,7,2
EMP022,QA,Mid,39.8,2,1,80,4,7
EMP023,IT Support,Mid,47.7,2,5,78,6,4
EMP024,DevOps,Senior,37,4,4,81,3,8
EMP025,DevOps,Mid,34.2,8,4,64,5,4
EMP026,QA,Junior,47.8,3,2,77,6,5
EMP027,Product,Mid,42.1,2,2,80,5,4
EMP028,IT Support,Senior,39,4,3,85,3,7
EMP029,Engineering,Senior,46.3,10,3,52,8,1
EMP030,QA,Mid,47.2,10,4,57,7,2
EMP031,Engineering,Mid,47.8,9,3,68,3,6
EMP032,Product,Senior,35.2,7,5,77,3,8
EMP033,DevOps,Senior,42.1,2,5,72,7,2
EMP034,Product,Senior,41.9,6,3,72,5,4
EMP035,IT Support,Junior,52.6,2,4,71,8,3
EMP036,Engineering,Senior,43.1,7,2,82,2,9
EMP037,QA,Senior,47.3,2,1,81,5,4
EMP038,IT Support,Mid,44.6,10,5,63,6,4
EMP039,Engineering,Junior,39.2,4,4,76,4,6
EMP040,DevOps,Junior,42.7,2,4,81,5,5
EMP041,DevOps,Junior,49.8,6,4,71,5,5
EMP042,DevOps,Senior,41.5,4,4,81,4,6
EMP043,QA,Junior,50.9,2,2,82,3,7
EMP044,QA,Mid,42.9,8,5,67,6,4
EMP045,DevOps,Mid,48.3,10,5,70,3,7
EMP046,Engineering,Mid,44.2,11,2,61,6,3
EMP047,Product,Junior,52.6,11,2,65,4,6
EMP048,Product,Mid,42,9,5,62,6,3
EMP049,QA,Junior,43.7,5,4,69,6,4
EMP050,Product,Junior,52.7,6,4,80,1,10
EMP051,Engineering,Mid,38.7,3,5,81,3,8
EMP052,DevOps,Senior,41,11,2,62,4,6
EMP053,DevOps,Junior,51.8,3,5,84,4,7
EMP054,Product,Junior,38.9,11,5,62,6,3
EMP055,DevOps,Junior,38.9,2,5,82,5,4
EMP056,IT Support,Senior,40,2,1,79,5,5
EMP057,Engineering,Mid,39.1,5,4,81,4,5
EMP058,DevOps,Junior,43.6,5,3,77,4,6
EMP059,IT Support,Senior,47.6,6,4,62,9,1
EMP060,Engineering,Senior,41.9,8,2,72,3,6
EMP061,IT Support,Senior,46.4,2,5,82,5,5
EMP062,IT Support,Mid,46.4,3,5,81,4,5
EMP063,DevOps,Junior,47.8,8,1,70,4,5
EMP064,Product,Mid,41.2,7,3,66,8,2
EMP065,DevOps,Senior,34.1,3,4,86,4,6
EMP066,Product,Junior,44.8,4,5,77,6,4
EMP067,Product,Junior,42.3,6,2,78,3,6
EMP068,IT Support,Senior,41.2,4,4,73,5,4
EMP069,Engineering,Junior,39.8,6,3,67,8,3
EMP070,DevOps,Mid,52.9,9,2,75,3,7
EMP071,QA,Mid,38,5,3,79,2,8
EMP072,Engineering,Junior,50.6,4,5,82,2,8
EMP073,DevOps,Junior,35.4,9,2,57,8,3
EMP074,Engineering,Mid,43.5,10,3,69,2,9
EMP075,IT Support,Junior,29.7,2,5,87,3,8
EMP076,Product,Junior,50.2,4,5,76,5,6
EMP077,IT Support,Junior,38.8,6,1,62,7,3
EMP078,DevOps,Junior,35.2,2,2,80,6,5
EMP079,QA,Mid,49.8,3,4,79,5,4
EMP080,Product,Junior,39.2,8,5,50,10,1
EMP081,DevOps,Senior,43.2,3,2,72,6,4
EMP082,DevOps,Senior,40.7,7,1,69,6,5
EMP083,QA,Senior,46.8,11,1,55,6,4
EMP084,Product,Junior,42,4,1,78,5,6
EMP085,DevOps,Mid,37.5,5,1,69,6,5
EMP086,DevOps,Junior,42.4,4,3,76,5,4
EMP087,QA,Mid,41.5,11,2,76,2,7
EMP088,IT Support,Senior,38.5,2,2,83,5,4
EMP089,Engineering,Senior,39.3,9,2,75,3,8
EMP090,QA,Junior,44,8,3,71,3,8
EMP091,QA,Mid,34,10,5,66,5,5
EMP092,Engineering,Junior,38.8,10,1,72,2,7
EMP093,Engineering,Mid,42,5,2,71,7,4
EMP094,Engineering,Senior,34.4,5,2,86,2,8
